fen,eval
r1b1kbnr/pp2ppp1/1q6/2ppn2p/4PB2/3P1N2/PPPN1PPP/R2QKBR1 w Qkq - 2 7,3.8100
r1b1kbnr/pp2ppp1/1q6/2ppn2p/4PB2/3P1N2/PPPNBPPP/R2QK1R1 b Qkq - 3 7,-0.2400
r3kbnr/pp2ppp1/1q6/2ppn2p/4PB2/3P1N1b/PPPNBPPP/R2QK1R1 w Qkq - 4 8,5.3600
r3kbnr/pp2ppp1/1q6/2ppn2p/4P3/3P1NBb/PPPNBPPP/R2QK1R1 b Qkq - 5 8,1.1600
r3kbnr/pp2ppp1/8/1qppn2p/4P3/3P1NBb/PPPNBPPP/R2QK1R1 w Qkq - 6 9,5.6100
r3kbnr/pp2ppp1/8/1qppn2p/4P3/3P1NBP/PPPNBP1P/R2QK1R1 b Qkq - 0 9,5.3200
r3kbnr/pp2ppp1/8/2ppn2p/4P3/1q1P1NBP/PPPNBP1P/R2QK1R1 w Qkq - 1 10,9.1500
r3kbnr/pp2ppp1/8/2ppn2p/4P3/1P1P1NBP/PP1NBP1P/R2QK1R1 b Qkq - 0 10,9.4100
2kr1bnr/pp2ppp1/8/2ppn2p/4P3/1P1P1NBP/PP1NBP1P/R2QK1R1 w Q - 1 11,9.6600
2kr1bnr/pp2ppp1/8/2ppn2p/4P3/1P1P1NBP/PP2BP1P/R2QKNR1 b Q - 2 11,8.4800
2kr1bnr/p3ppp1/8/1pppn2p/4P3/1P1P1NBP/PP2BP1P/R2QKNR1 w Q - 0 12,9.3500
2kr1bnr/p3ppp1/8/1pppn2p/4P3/1P1P1NBP/PP2BP1P/R1Q1KNR1 b Q - 1 12,9.3800
3r1bnr/p1k1ppp1/8/1pppn2p/4P3/1P1P1NBP/PP2BP1P/R1Q1KNR1 w Q - 2 13,11.0800
3r1bnr/p1k1ppp1/8/1pppn2p/2Q1P3/1P1P1NBP/PP2BP1P/R3KNR1 b Q - 3 13,7.4300
3r1bnr/p1k1p1p1/5p2/1pppn2p/2Q1P3/1P1P1NBP/PP2BP1P/R3KNR1 w Q - 0 14,10.4400
3r1bnr/p1k1p1p1/5p2/1pppn2p/2Q1P2N/1P1P2BP/PP2BP1P/R3KNR1 b Q - 1 14,5.3300
